ISO28178
# Data formatted with IT8.7/4 patch set
ORIGINATOR	"Idealliance  E,G,J4,T"
CREATED	"December, 2016"
DESCRIPTOR	XCMYK - Expanded gamut reference characterization for high density offset printing
MEASUREMENT_SOURCE	"MeasurementCondition=M1	Filter=D50"
ILLUMINATION_NAME	D50
OBSERVER_ANGLE	2
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	SampleID
NUMBER_OF_FIELDS	11
BEGIN_DATA_FORMAT
SampleID	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS	1617
BEGIN_DATA
46	55	0	0	0	36.767	45.836	68.591	73.439	-22.937	-33.841
47	55	10	0	0	33.172	39.241	61.775	68.925	-15.705	-35.176
48	55	20	0	0	30.59	34.053	55.715	65.005	-8.143	-35.792
49	55	30	0	0	27.037	28.265	49.466	60.128	-0.87	-37.38
50	55	40	0	0	24.804	24.189	44.205	56.277	6.459	-37.816
51	55	55	0	0	21.363	18.409	36.256	49.988	18.12	-38.272
52	55	70	0	0	18.597	13.825	28.915	43.98	30.354	-37.585
53	55	85	0	0	15.75	9.639	20.592	37.186	44.072	-34.215
54	55	100	0	0	12.686	6.358	10.958	30.299	54.742	-22.211
55	70	0	0	0	27.155	36.293	65.226	66.743	-28.909	-42.259
56	70	10	0	0	24.822	31.523	59.291	62.947	-22.214	-43.018
57	70	20	0	0	22.259	26.798	53.402	58.787	-15.636	-44.049
58	70	30	0	0	20.083	22.787	48.045	54.852	-9.012	-44.845
59	70	40	0	0	18.015	19.046	42.644	50.741	-1.831	-45.426
60	70	55	0	0	15.594	14.674	35.529	45.184	8.69	-45.531
61	70	70	0	0	13.695	11.126	28.873	39.792	20.393	-44.738
62	70	85	0	0	11.247	7.461	20.706	32.835	33.809	-41.95
63	70	100	0	0	8.876	4.625	10.957	25.638	46.291	-30.244
64	85	0	0	0	18.644	26.931	60.699	58.91	-33.76	-51.383
65	85	10	0	0	16.878	23.26	55.31	55.34	-27.8	-52.03
66	85	20	0	0	15.496	20.222	50.286	52.087	-21.637	-52.169
67	85	30	0	0	14.192	17.564	45.877	48.963	-16.018	-52.449
68	85	40	0	0	12.899	15.011	41.376	45.65	-10.012	-52.596
69	85	55	0	0	11.147	11.723	35.131	40.773	-1.137	-52.571
70	85	70	0	0	9.572	8.7	28.559	35.401	9.966	-51.797
71	85	85	0	0	7.721	5.823	21.224	28.963	21.71	-49.668
72	85	100	0	0	5.681	3.309	11.96	21.242	34.035	-40.848
73	100	0	0	0	11.679	17.412	52.817	48.775	-31.811	-60.679
74	100	10	0	0	11.045	15.849	49.27	46.775	-27.75	-60.178
75	100	20	0	0	10.082	13.882	45.356	44.063	-23.339	-60.271
76	100	30	0	0	9.385	12.326	41.773	41.73	-18.836	-59.862
77	100	40	0	0	8.604	10.84	38.579	39.31	-14.97	-59.863
78	100	55	0	0	7.468	8.616	33.132	35.235	-7.709	-59.211
79	100	70	0	0	6.379	6.657	27.919	31.013	-0.415	-58.303
80	100	85	0	0	5.182	4.695	21.926	25.849	8.309	-56.424
81	100	100	0	0	3.651	2.666	13.844	18.655	18.527	-50.556
82	0	0	10	0	82.519	86.302	63.592	94.441	-1.325	7.053
83	0	10	10	0	74.878	73.78	57.576	88.818	7.782	3.334
84	0	20	10	0	68.547	63.443	52.154	83.675	16.615	0.219
85	0	30	10	0	63.109	55.039	47.141	79.064	24.363	-2.046
86	0	40	10	0	57.536	46.627	41.377	73.951	33.23	-3.803
87	0	55	10	0	50.354	36.151	33.445	66.635	46.462	-5.535
88	0	70	10	0	43.889	27.482	25.805	59.418	59.544	-5.72
89	0	85	10	0	37.944	20.37	17.972	52.253	72.215	-2.653
