Library|Pantone_Name|Hex|R|G|B|C|M|Y|K|L|a|b|Hex_Source|RGB_Source|CMYK_Source|Lab_Source
Pantone Formula Guide Uncoated|PANTONE 2269 U|#6AC876|106|200|118|47.0|0.0|41.0|21.6|73.33|-42.0|32.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 2270 U|#38C869|56|200|105|72.0|0.0|47.5|21.6|71.76|-55.0|36.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 2271 U|#0CBB5A|12|187|90|93.6|0.0|51.9|26.7|66.67|-57.0|37.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 2272 U|#3AA149|58|161|73|64.0|0.0|54.7|36.9|58.82|-45.0|36.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 2273 U|#4E7C50|78|124|80|37.1|0.0|35.5|51.4|47.84|-24.0|19.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 2420 U|#18C676|24|198|118|87.9|0.0|40.4|22.4|70.59|-56.0|28.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 2421 U|#42B83A|66|184|58|64.1|0.0|68.5|27.8|66.27|-52.0|51.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 2422 U|#2FA659|47|166|89|71.7|0.0|46.4|34.9|60.39|-47.0|30.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 2423 U|#00AB4B|0|171|75|100.0|0.0|56.1|32.9|60.78|-58.0|37.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 2424 U|#45A23C|69|162|60|57.4|0.0|63.0|36.5|59.61|-44.0|43.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 2426 U|#009248|0|146|72|100.0|0.0|50.7|42.7|52.94|-48.0|29.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 2427 U|#43714B|67|113|75|40.7|0.0|33.6|55.7|43.53|-23.0|16.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 7485 U|#D4E4C1|212|228|193|7.0|0.0|15.4|10.6|88.63|-10.0|15.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 7486 U|#B3E294|179|226|148|20.8|0.0|34.5|11.4|85.1|-26.0|33.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 7487 U|#83E077|131|224|119|41.5|0.0|46.9|12.2|81.57|-44.0|42.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 7488 U|#59CF5C|89|207|92|57.0|0.0|55.6|18.8|74.51|-52.0|46.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 7489 U|#78A96C|120|169|108|29.0|0.0|36.1|33.7|64.71|-26.0|26.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 7490 U|#799D6D|121|157|109|22.9|0.0|30.6|38.4|61.18|-20.0|21.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 7491 U|#7F8B61|127|139|97|8.6|0.0|30.2|45.5|56.08|-10.0|21.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 2274 U|#D5E0B6|213|224|182|4.9|0.0|18.7|12.2|87.45|-9.0|19.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 2275 U|#C6E19B|198|225|155|12.0|0.0|31.1|11.8|86.27|-18.0|31.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 2276 U|#89A768|137|167|104|18.0|0.0|37.7|34.5|65.1|-19.0|29.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 2277 U|#639948|99|153|72|35.3|0.0|52.9|40.0|58.04|-30.0|36.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 2278 U|#628B4C|98|139|76|29.5|0.0|45.3|45.5|53.73|-24.0|29.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 2279 U|#6C8555|108|133|85|18.8|0.0|36.1|47.8|52.55|-16.0|23.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 2280 U|#627B4D|98|123|77|20.3|0.0|37.4|51.8|48.63|-16.0|22.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 365 U|#BFE592|191|229|146|16.6|0.0|36.2|10.2|86.67|-23.0|36.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
